Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-10-13,0.949999988079071,1.090000033378601,0.9200000166893005,0.9900000095367432,298600,0,0
2021-10-14,1.090000033378601,1.090000033378601,1.0,1.0449999570846558,117200,0,0
2021-10-15,1.0499999523162842,1.059999942779541,0.9670000076293945,1.0499999523162842,145900,0,0
2021-10-18,0.9900000095367432,1.0,0.9700000286102295,0.9800000190734863,67700,0,0
2021-10-19,1.0,1.0499999523162842,0.9810000061988831,1.0,111000,0,0
2021-10-20,1.0,1.0499999523162842,0.9900000095367432,1.0199999809265137,74200,0,0
2021-10-21,1.0199999809265137,1.0199999809265137,0.9100000262260437,0.9800000190734863,55700,0,0
2021-10-22,0.9800000190734863,1.0,0.9240000247955322,0.9300000071525574,128000,0,0
2021-10-25,0.9860000014305115,1.0,0.9300000071525574,0.9599999785423279,27800,0,0
2021-10-26,0.968999981880188,1.0099999904632568,0.9100000262260437,0.9879999756813049,158700,0,0
2021-10-27,0.9800000190734863,1.0499999523162842,0.9599999785423279,1.0399999618530273,209400,0,0
2021-10-28,1.0,1.0399999618530273,0.9800000190734863,1.0,104500,0,0
2021-10-29,1.0,1.0099999904632568,0.9399999976158142,0.9980000257492065,27500,0,0
2021-11-01,0.9509999752044678,1.0,0.9509999752044678,1.0,87500,0,0
2021-11-02,0.9980000257492065,0.9980000257492065,0.9509999752044678,0.9980000257492065,11900,0,0
2021-11-03,0.996999979019165,1.0,0.9269999861717224,0.949999988079071,75800,0,0
2021-11-04,0.949999988079071,0.9789999723434448,0.9300000071525574,0.9599999785423279,33200,0,0
2021-11-05,0.9599999785423279,0.9599999785423279,0.8999999761581421,0.9390000104904175,40000,0,0
2021-11-08,0.949999988079071,0.949999988079071,0.9049999713897705,0.9200000166893005,26000,0,0
2021-11-09,0.9490000009536743,0.9599999785423279,0.9200000166893005,0.9369999766349792,38100,0,0
2021-11-10,0.9300000071525574,0.9300000071525574,0.8700000047683716,0.9200000166893005,57500,0,0
2021-11-11,0.9350000023841858,0.9350000023841858,0.8999999761581421,0.9200000166893005,16900,0,0
2021-11-12,0.9200000166893005,0.9200000166893005,0.8399999737739563,0.8700000047683716,80000,0,0
